rho,tau,mu,kap,n,n_accept,accept_rate,abstain_rate,tp_any,fp_any,fn_any,tn_any,precision_any,recall_any,f1_any,tp_strict,fp_strict,fn_strict,precision_strict,recall_strict,f1_strict,n_generic,generic_accepted,generic_abstain_rate
1.0,0.25,-7.0,2,150,107,0.7133333333333334,0.2866666666666666,18,64,3,15,0.21951219512195122,0.8571428571428571,0.3495145631067961,7,75,2,0.08536585365853659,0.7777777777777778,0.15384615384615385,22,0,1.0
1.0,0.25,-7.0,3,150,111,0.74,0.26,20,66,1,13,0.23255813953488372,0.9523809523809523,0.37383177570093457,9,77,0,0.10465116279069768,1.0,0.18947368421052632,22,0,1.0
1.0,0.25,-7.0,5,150,111,0.74,0.26,20,66,1,13,0.23255813953488372,0.9523809523809523,0.37383177570093457,9,77,0,0.10465116279069768,1.0,0.18947368421052632,22,0,1.0
1.0,0.25,-7.0,999,150,111,0.74,0.26,20,66,1,13,0.23255813953488372,0.9523809523809523,0.37383177570093457,9,77,0,0.10465116279069768,1.0,0.18947368421052632,22,0,1.0
1.0,0.25,-6.0,1,150,83,0.5533333333333333,0.44666666666666666,13,47,8,32,0.21666666666666667,0.6190476190476191,0.32098765432098764,4,56,5,0.06666666666666667,0.4444444444444444,0.11594202898550725,22,0,1.0
1.0,0.25,-6.0,2,150,96,0.64,0.36,15,56,6,23,0.2112676056338028,0.7142857142857143,0.3260869565217391,5,66,4,0.07042253521126761,0.5555555555555556,0.125,22,0,1.0
1.0,0.25,-6.0,3,150,100,0.6666666666666666,0.33333333333333337,17,58,4,21,0.22666666666666666,0.8095238095238095,0.3541666666666667,7,68,2,0.09333333333333334,0.7777777777777778,0.16666666666666666,22,0,1.0
1.0,0.25,-6.0,5,150,100,0.6666666666666666,0.33333333333333337,17,58,4,21,0.22666666666666666,0.8095238095238095,0.3541666666666667,7,68,2,0.09333333333333334,0.7777777777777778,0.16666666666666666,22,0,1.0
1.0,0.25,-6.0,999,150,100,0.6666666666666666,0.33333333333333337,17,58,4,21,0.22666666666666666,0.8095238095238095,0.3541666666666667,7,68,2,0.09333333333333334,0.7777777777777778,0.16666666666666666,22,0,1.0
1.0,0.25,-5.0,1,150,67,0.44666666666666666,0.5533333333333333,12,35,9,44,0.2553191489361702,0.5714285714285714,0.35294117647058826,4,43,5,0.0851063829787234,0.4444444444444444,0.14285714285714285,22,0,1.0
1.0,0.25,-5.0,2,150,77,0.5133333333333333,0.4866666666666667,14,41,7,38,0.2545454545454545,0.6666666666666666,0.3684210526315789,5,50,4,0.09090909090909091,0.5555555555555556,0.15625,22,0,1.0
1.0,0.25,-5.0,3,150,81,0.54,0.45999999999999996,16,43,5,36,0.2711864406779661,0.7619047619047619,0.4,7,52,2,0.11864406779661017,0.7777777777777778,0.2058823529411765,22,0,1.0
1.0,0.25,-5.0,5,150,81,0.54,0.45999999999999996,16,43,5,36,0.2711864406779661,0.7619047619047619,0.4,7,52,2,0.11864406779661017,0.7777777777777778,0.2058823529411765,22,0,1.0
1.0,0.25,-5.0,999,150,81,0.54,0.45999999999999996,16,43,5,36,0.2711864406779661,0.7619047619047619,0.4,7,52,2,0.11864406779661017,0.7777777777777778,0.2058823529411765,22,0,1.0
1.0,0.25,-4.5,1,150,46,0.30666666666666664,0.6933333333333334,10,22,11,57,0.3125,0.47619047619047616,0.37735849056603776,2,30,7,0.0625,0.2222222222222222,0.0975609756097561,22,0,1.0
1.0,0.25,-4.5,2,150,56,0.37333333333333335,0.6266666666666667,12,28,9,51,0.3,0.5714285714285714,0.3934426229508196,3,37,6,0.075,0.3333333333333333,0.12244897959183673,22,0,1.0
